	Scaffold_ID.#ID.on.Haplome.H2.3	pseudomolecule.(Chr1-Chr12).or.unassigned.scaffold	Gene.start.#on haplome.pseudo.molecule.(PM1N)	Gene.end	*Gene.length.#(in.bp UTR.+.CDS.+.introns)	Protein.definition .#Based.on.phytozome.process	"Tandem.duplication.(TDG,.LDG,.SG)"	Relationship.between.the.Diploid.and.Haploid.versions:.(1:1.=.18299.genes).1.copy.in.the.diploid.for.1.copy.in.haploid.version.-.(2:1.=.18817.genes).2.copies.in.the.diploid.for.1.copy.in.the.haploid.version.-.NA.=.6639.genes	hybSeqGeneID
Qrob_T0520580.2	Qrob_H2.3_Sc0000030	Qrob_H2.3_Sc0000030	246871	250767	3897	(M=1) PTHR14194//PTHR14194:SF43 - NITROGEN METABOLIC REGULATION PROTEIN NMR-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0520580.2
Qrob_T0551210.2	Qrob_H2.3_Sc0000487	Chr6	8697386	8692340	5047	(M=1) K12862 - pleiotropic regulator 1	SG	1:01	T0551210.2
Qrob_T0580420.2	Qrob_H2.3_Sc0000001	Chr6	49637757	49639847	2091	(M=1) K02716 - photosystem II oxygen-evolving enhancer protein 1	SG	2:01	T0580420.2
Qrob_T0612090.2	Qrob_H2.3_Sc0000579	Qrob_H2.3_Sc0000579	210397	203285	7113	(M=1) K13201 - nucleolysin TIA-1/TIAR	SG	NA	T0612090.2
Qrob_T0641730.2	Qrob_H2.3_Sc0000240	Chr5	3941132	3945691	4560	(M=1) PTHR11760:SF9 - 40S RIBOSOMAL PROTEIN S3	SG	2:01	T0641730.2
Qrob_T0656130.2	Qrob_H2.3_Sc0000834	Chr8	35300338	35295158	5181	(M=1) K01061 - carboxymethylenebutenolidase [EC:3.1.1.45]	SG	NA	T0656130.2
Qrob_T0668620.2	Qrob_H2.3_Sc0000642	Chr8	38707912	38711738	3827	(M=1) 1.10.9.1 - Plastoquinol--plastocyanin reductase.	SG	2:01	T0668620.2
Qrob_T0679260.2	Qrob_H2.3_Sc0000768	Chr8	49375382	49376611	1230	(M=1) KOG0161//KOG0976//KOG0994//KOG0996 - Myosin class II heavy chain [Cytoskeleton]. // Rho/Rac1-interacting serine/threonine kinase Citron [Signal transduction mechanisms]. // Extracellular matrix glycoprotein Laminin subunit beta [Extracellular structures]. // Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin  subunit C) [Chromatin structure and dynamics  Cell cycle control  cell division  chromosome partitioning].	SG	2:01	T0679260.2
Qrob_T0705220.2	Qrob_H2.3_Sc0000874	Chr8	64048795	64044625	4171	(M=1) 1.8.5.1 - Glutathione dehydrogenase (ascorbate).	SG	1:01	T0705220.2
Qrob_T0213790.2	Qrob_H2.3_Sc0000369	Chr7	40995718	41000695	4978	(M=1) K03386 - peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	SG	2:01	T0213790.2
Qrob_T0573790.2	Qrob_H2.3_Sc0000543	Chr4	5421788	5425070	3283	(M=1) 2.3.1.181 - Lipoyl(octanoyl) transferase.	SG	NA	T0573790.2
Qrob_T0033990.2	Qrob_H2.3_Sc0000007	Chr8	19236180	19250340	14161	(M=1) PTHR22795 - SUPPRESSOR OF RNA POLYMERASE B SRB8-RELATED	SG	NA	T0033990.2
Qrob_T0152220.2	Qrob_H2.3_Sc0000084	Chr12	29939654	29950372	10719	(M=1) K11789 - HIV-1 Vpr-binding protein	SG	NA	T0152220.2
Qrob_T0632110.2	Qrob_H2.3_Sc0000011	Chr6	54368287	54378902	10616	(M=1) K03006 - DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]	SG	2:01	T0632110.2
Qrob_T0484720.2	Qrob_H2.3_Sc0000345	Chr3	20338166	20348760	10595	(M=1) K15156 - mediator of RNA polymerase II transcription subunit 14	SG	2:01	T0484720.2
Qrob_T0580480.2	Qrob_H2.3_Sc0000119	Chr1	19415093	19400934	14160	(M=1) K16279 - E3 ubiquitin-protein ligase KEG [EC:2.7.11.1 2.3.2.27]	SG	2:01	T0580480.2
Qrob_T0018350.2	Qrob_H2.3_Sc0000082	Chr1	31588342	31596890	8549	(M=1) PTHR13402 - RGPR-RELATED	SG	2:01	T0018350.2
Qrob_T0533480.2	Qrob_H2.3_Sc0000462	Chr6	36588515	36598021	9507	(M=1) KOG1081//KOG1862//KOG1946//KOG2402 - Transcription factor NSD1 and related SET domain proteins [Transcription]. // GYF domain containing proteins [General function prediction only]. // RNA polymerase I transcription factor UAF [Transcription]. // Paf1/RNA polymerase II complex  RTF1 component (involved in regulation of TATA box-binding protein) [Transcription].	SG	2:01	T0533480.2
Qrob_T0334920.2	Qrob_H2.3_Sc0000172	Chr2	90309885	90293552	16334	(M=1) K16578 - CLIP-associating protein 1/2	SG	2:01	T0334920.2
Qrob_T0008710.2	Qrob_H2.3_Sc0000012	Chr3	5165319	5172649	7331	(M=1) K11991 - tRNA-specific adenosine deaminase [EC:3.5.4.-]	SG	NA	T0008710.2
Qrob_T0201810.2	Qrob_H2.3_Sc0000499	Chr8	94635	105745	11111	(M=1) K12616 - enhancer of mRNA-decapping protein 4	SG	2:01	T0201810.2
Qrob_T0201490.2	Qrob_H2.3_Sc0000413	Chr8	64985975	64981108	4868	(M=1) 6.3.5.3 - Phosphoribosylformylglycinamidine synthase.	SG	2:01	T0201490.2
Qrob_T0099290.2	Qrob_H2.3_Sc0000097	Chr9	48257614	48250145	7470	(M=1) PTHR31908:SF2 - NUCLEAR MATRIX CONSTITUENT PROTEIN 1-LIKE PROTEIN-RELATED (PTHR31908:SF2)	SG	2:01	T0099290.2
Qrob_T0214960.2	Qrob_H2.3_Sc0000210	Chr12	35754749	35761633	6885	(M=1) PTHR10887//PTHR10887:SF324 - DNA2/NAM7 HELICASE FAMILY // SUBFAMILY NOT NAMED	SG	2:01	T0214960.2
Qrob_T0349670.2	Qrob_H2.3_Sc0000406	Chr4	23856103	23849651	6453	"(M=1) PTHR24092:SF7 - SIMILAR TO ATPASE, CLASS II, TYPE 9A (FRAGMENT)"	SG	NA	T0349670.2
Qrob_T0210740.2	Qrob_H2.3_Sc0000138	Chr6	3663777	3649456	14322	(M=1) PTHR31008:SF0 - COP1-INTERACTING PROTEIN-RELATED	SG	2:01	T0210740.2
Qrob_T0589130.2	Qrob_H2.3_Sc0000043	Chr2	42478780	42486440	7661	(M=1) PTHR14571:SF9 - PHD FINGER PROTEIN 13 (PTHR14571:SF9)	SG	NA	T0589130.2
Qrob_T0131220.2	Qrob_H2.3_Sc0000130	Chr7	38183716	38194237	10522	(M=1) KOG0162//KOG0307//KOG3561//KOG3598//KOG4822 - Myosin class I heavy chain [Cytoskeleton]. // Vesicle coat complex COPII  subunit SEC31 [Intracellular trafficking  secretion  and vesicular transport]. // Aryl-hydrocarbon receptor nuclear translocator [Transcription]. // Thyroid hormone receptor-associated protein complex  subunit TRAP230 [Transcription]. // Predicted nuclear membrane protein involved in mRNA transport and sex determination via splicing modulation [RNA processing and modification  Signal transduction mechanisms].	SG	2:01	T0131220.2
Qrob_T0090820.2	Qrob_H2.3_Sc0000101	Chr7	41959583	41974173	14591	(M=1) PTHR23083:SF364 - UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N-ACETYLGLUCOSAMINYLTRANSFERASE 110 KDA SUBUNIT (PTHR23083:SF364)	SG	2:01	T0090820.2
Qrob_T0153260.2	Qrob_H2.3_Sc0000047	Chr9	15565619	15544651	20969	(M=1) K01280 - tripeptidyl-peptidase II [EC:3.4.14.10]	SG	NA	T0153260.2
Qrob_T0304420.2	Qrob_H2.3_Sc0000158	Chr2	26543830	26559832	16003	(M=1) PTHR11851:SF34 - PITRILYSIN	SG	NA	T0304420.2
Qrob_T0440150.2	Qrob_H2.3_Sc0000398	Chr12	27749221	27731326	17896	(M=1) PTHR11977 - VILLIN	SG	NA	T0440150.2
Qrob_T0399150.2	Qrob_H2.3_Sc0000588	Chr4	28030934	28044125	13192	(M=1) KOG2006 - WD40 repeat protein [General function prediction only].	SG	2:01	T0399150.2
Qrob_T0200530.2	Qrob_H2.3_Sc0000170	Chr6	35247421	35261950	14530	(M=1) K12169 - Kip1 ubiquitination-promoting complex protein 1 [EC:6.3.2.19]	SG	1:01	T0200530.2
Qrob_T0297570.2	Qrob_H2.3_Sc0000145	Chr2	31645930	31622654	23277	(M=1) K11643 - chromodomain-helicase-DNA-binding protein 4 [EC:3.6.4.12]	SG	1:01	T0297570.2
Qrob_T0410140.2	Qrob_H2.3_Sc0000271	Chr7	39337601	39329331	8271	(M=1) K03010 - DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]	SG	2:01	T0410140.2
Qrob_T0668830.2	Qrob_H2.3_Sc0000419	Chr7	36886418	36872056	14363	(M=1) PTHR10997:SF7 - IMPORTIN 11 (IMP11) (RAN-BINDING PROTEIN 11)	SG	2:01	T0668830.2
Qrob_T0392860.2	Qrob_H2.3_Sc0000027	Chr2	98895576	98915688	20113	(M=1) K14290 - exportin-1	SG	NA	T0392860.2
Qrob_T0437930.2	Qrob_H2.3_Sc0000274	Chr2	34767515	34762660	4856	(M=1) PTHR23079//PTHR23079:SF12 - RNA-DEPENDENT RNA POLYMERASE // SUBFAMILY NOT NAMED	SG	2:01	T0437930.2
Qrob_T0152730.2	Qrob_H2.3_Sc0000047	Chr9	16264515	16258673	5843	(M=1) PTHR13107 - KARYOGAMY PROTEIN KAR4-RELATED	SG	1:01	T0152730.2
Qrob_T0458950.2	Qrob_H2.3_Sc0000095	Chr10	379854	387487	7634	(M=1) K15979 - staphylococcal nuclease domain-containing protein 1	SG	NA	T0458950.2
Qrob_T0546070.2	Qrob_H2.3_Sc0000014	Chr2	77062065	77088493	26429	(M=1) PTHR12363:SF27 - EXPORTIN 1-LIKE PROTEIN DOMAIN-CONTAINING PROTEIN (PTHR12363:SF27)	SG	1:01	T0546070.2
Qrob_T0089890.2	Qrob_H2.3_Sc0000051	Chr2	28998988	28987160	11829	(M=1) K16252 - DNA-directed RNA polymerase IV and V subunit 2 [EC:2.7.7.6]	SG	2:01	T0089890.2
Qrob_T0543300.2	Qrob_H2.3_Sc0000447	Chr10	22483569	22488711	5143	(M=1) KOG0147//KOG0307//KOG0796//KOG1984//KOG2548//KOG2888 - Transcriptional coactivator CAPER (RRM superfamily) [Transcription]. // Vesicle coat complex COPII  subunit SEC31 [Intracellular trafficking  secretion  and vesicular transport]. // Spliceosome subunit [RNA processing and modification]. // Vesicle coat complex COPII  subunit SFB3 [Intracellular trafficking  secretion  and vesicular transport]. // SWAP mRNA splicing regulator [RNA processing and modification]. // Putative RNA binding protein [General function prediction only].	SG	2:01	T0543300.2
Qrob_T0616170.2	Qrob_H2.3_Sc0000361	Chr3	2272685	2288473	15789	(M=1) KOG4659 - Uncharacterized conserved protein (Rhs family) [Function unknown].	SG	NA	T0616170.2
Qrob_T0372250.2	Qrob_H2.3_Sc0000144	Chr11	40281717	40287932	6216	"(M=1) 3.2.1.114 - Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase."	SG	NA	T0372250.2
Qrob_T0290750.2	Qrob_H2.3_Sc0000039	Chr12	4266336	4277021	10686	(M=1) K06671 - cohesin complex subunit SA-1/2	SG	1:01	T0290750.2
Qrob_T0430540.2	Qrob_H2.3_Sc0000089	Chr11	24641397	24633884	7514	(M=1) K10661 - E3 ubiquitin-protein ligase MARCH6 [EC:6.3.2.19]	SG	NA	T0430540.2
Qrob_T0619560.2	Qrob_H2.3_Sc0000252	Chr2	20462575	20468032	5458	(M=1) PTHR31580:SF4 - FILAMENT-LIKE PLANT PROTEIN 4-RELATED (PTHR31580:SF4)	SG	2:01	T0619560.2
Qrob_T0722900.2	Qrob_H2.3_Sc0000361	Chr3	1941586	1932167	9420	(M=1) PTHR12444:SF3 - gb def: c32d5.3.p [caenorhabditis elegans]	SG	2:01	T0722900.2
Qrob_T0087010.2	Qrob_H2.3_Sc0000077	Chr4	8297790	8289679	8112	(M=1) K04681 - retinoblastoma-like	SG	NA	T0087010.2
Qrob_T0011800.2	Qrob_H2.3_Sc0000005	Chr11	35915138	35929291	14154	(M=1) 3.6.3.7 - Sodium-exporting ATPase.	SG	NA	T0011800.2
Qrob_T0564850.2	Qrob_H2.3_Sc0000084	Chr12	30375042	30367733	7310	(M=1) KOG1105//KOG1634 - Transcription elongation factor TFIIS/Cofactor of enhancer-binding protein Sp1 [Transcription]. // Predicted transcription factor DATF1  contains PHD and TFS2M domains [Transcription].	SG	NA	T0564850.2
Qrob_T0479090.2	Qrob_H2.3_Sc0000420	Chr5	48476415	48487276	10862	(M=1) K02519 - translation initiation factor IF-2	SG	NA	T0479090.2
Qrob_T0244370.2	Qrob_H2.3_Sc0000035	Chr1	33788267	33800651	12385	(M=1) K17973 - N-terminal acetyltransferase B complex non-catalytic subunit	SG	2:01	T0244370.2
Qrob_T0598060.2	Qrob_H2.3_Sc0000704	Chr4	43532857	43516045	16813	(M=1) K09291 - nucleoprotein TPR	SG	2:01	T0598060.2
Qrob_T0674370.2	Qrob_H2.3_Sc0000125	Chr12	31285300	31295121	9822	(M=1) K12392 - AP-1 complex subunit beta-1	SG	2:01	T0674370.2
Qrob_T0275540.2	Qrob_H2.3_Sc0000201	Chr6	5917522	5912520	5003	(M=1) KOG0550//KOG0691//KOG0712//KOG0713//KOG0715//KOG0716//KOG0717//KOG0719//KOG0720//KOG0722 - Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones].	SG	1:01	T0275540.2
Qrob_T0674130.2	Qrob_H2.3_Sc0000176	Chr3	55522236	55534498	12263	(M=1) K02335 - DNA polymerase I [EC:2.7.7.7]	SG	2:01	T0674130.2
Qrob_T0676340.2	Qrob_H2.3_Sc0000761	Chr2	21407633	21404187	3447	(M=1) PTHR15141:SF14 - ELONGIN-A-RELATED	SG	2:01	T0676340.2
Qrob_T0411840.2	Qrob_H2.3_Sc0000354	Qrob_H2.3_Sc0000354	416590	427092	10503	(M=1) PTHR22870:SF142 - RCC1 DOMAIN-CONTAINING PROTEIN 1 (PTHR22870:SF142)	SG	NA	T0411840.2
Qrob_T0340770.2	Qrob_H2.3_Sc0000140	Chr11	37469164	37480840	11677	(M=1) PTHR22100:SF13 - WINGS APART-LIKE PROTEIN HOMOLOG (PTHR22100:SF13)	SG	NA	T0340770.2
Qrob_T0262820.2	Qrob_H2.3_Sc0000079	Chr5	50574691	50580897	6207	"(M=1) PTHR20275:SF6 - NADH KINASE POS5, MITOCHONDRIAL (PTHR20275:SF6)"	SG	2:01	T0262820.2
Qrob_T0280040.2	Qrob_H2.3_Sc0000035	Chr1	32517940	32533124	15185	(M=1) K01411 - nardilysin [EC:3.4.24.61]	SG	NA	T0280040.2
Qrob_T0683750.2	Qrob_H2.3_Sc0000404	Chr5	63415785	63403368	12418	(M=1) PTHR12526//PTHR12526:SF326 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED	SG	NA	T0683750.2
Qrob_T0304850.2	Qrob_H2.3_Sc0000158	Chr2	27203829	27217721	13893	(M=1) K01533 - Cu2+-exporting ATPase [EC:3.6.3.4]	SG	2:01	T0304850.2
Qrob_T0424710.2	Qrob_H2.3_Sc0000039	Chr12	4768703	4761854	6850	(M=1) PTHR13268//PTHR13268:SF0 - BREAST CARCINOMA AMPLIFIED SEQUENCE 3 // SUBFAMILY NOT NAMED	SG	NA	T0424710.2
Qrob_T0149130.2	Qrob_H2.3_Sc0000125	Chr12	31442585	31450984	8400	(M=1) 3.4.11.14 - Cytosol alanyl aminopeptidase.	SG	2:01	T0149130.2
Qrob_T0618890.2	Qrob_H2.3_Sc0000596	Chr5	25386480	25380117	6364	(M=1) K14558 - periodic tryptophan protein 2	SG	2:01	T0618890.2
Qrob_T0448380.2	Qrob_H2.3_Sc0000337	Chr10	41516265	41498914	17352	(M=1) PF05964 - F/Y-rich N-terminus	SG	2:01	T0448380.2
Qrob_T0301030.2	Qrob_H2.3_Sc0000236	Chr4	38208260	38198530	9731	(M=1) 3.1.26.12 - Ribonuclease E.	SG	NA	T0301030.2
Qrob_T0104420.2	Qrob_H2.3_Sc0000151	Chr11	14943426	14957562	14137	(M=1) PTHR12894:SF10 - VAM6/VPS39 RELATED	SG	NA	T0104420.2
Qrob_T0330250.2	Qrob_H2.3_Sc0000452	Chr2	79764523	79770866	6344	(M=1) KOG0109//KOG0110//KOG0117//KOG0123//KOG0124//KOG0127//KOG0144//KOG0148//KOG0153//KOG4660 - RNA-binding protein LARK  contains RRM and retroviral-type Zn-finger domains [RNA processing and modification  General function prediction only]. // RNA-binding protein (RRM superfamily) [General function prediction only]. // Heterogeneous nuclear ribonucleoprotein R (RRM superfamily) [RNA processing and modification]. // Polyadenylate-binding protein (RRM superfamily) [RNA processing and modification  Translation  ribosomal structure and biogenesis]. // Polypyrimidine tract-binding protein PUF60 (RRM superfamily) [RNA processing and modification]. // Nucleolar protein fibrillarin NOP77 (RRM superfamily) [RNA processing and modification]. // RNA-binding protein CUGBP1/BRUNO (RRM superfamily) [RNA processing and modification]. // Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily) [RNA processing and modification  Translation  ribosomal structure and biogenesis]. // Predicted RNA-binding protein (RRM superfamily) [General function prediction only]. // Protein Mei2  essential for commitment to meiosis  and related proteins [Cell cycle control  cell division  chromosome partitioning].	SG	2:01	T0330250.2
Qrob_T0239060.2	Qrob_H2.3_Sc0000011	Chr6	55392959	55397011	4053	"(M=1) PTHR23323:SF24 - VACUOLAR MEMBRANE PROTEIN PEP5, 11"	SG	2:01	T0239060.2
Qrob_T0374810.2	Qrob_H2.3_Sc0000043	Chr2	40709909	40715197	5289	(M=1) PTHR32002:SF4 - PROTEIN NLP6-RELATED (PTHR32002:SF4)	SG	2:01	T0374810.2
Qrob_T0188950.2	Qrob_H2.3_Sc0000045	Chr10	37621289	37630095	8807	"(M=1) 3.2.1.84 - Glucan 1,3-alpha-glucosidase."	SG	NA	T0188950.2
Qrob_T0090900.2	Qrob_H2.3_Sc0000101	Chr7	42039201	42051998	12798	(M=1) PTHR14009:SF9 - LETM1-LIKE PROTEIN (PTHR14009:SF9)	SG	2:01	T0090900.2
Qrob_T0559150.2	Qrob_H2.3_Sc0000425	Chr12	27258493	27246204	12290	(M=1) K16571 - gamma-tubulin complex component 4	SG	2:01	T0559150.2
Qrob_T0535970.2	Qrob_H2.3_Sc0000139	Chr1	29314673	29326572	11900	(M=1) K15501 - serine/threonine-protein phosphatase 6 regulatory subunit 3	SG	NA	T0535970.2
Qrob_T0627340.2	Qrob_H2.3_Sc0000210	Chr12	35476500	35486907	10408	(M=1) PTHR15447//PTHR15447:SF13 - POLY [ADP-RIBOSE] POLYMERASE // SUBFAMILY NOT NAMED	SG	NA	T0627340.2
Qrob_T0598420.2	Qrob_H2.3_Sc0000561	Chr11	49136512	49130355	6158	(M=1) PTHR21450:SF2 - gb def: Hypothetical protein	SG	2:01	T0598420.2
Qrob_T0603840.2	Qrob_H2.3_Sc0000011	Chr6	55595182	55586311	8872	(M=1) K08852 - serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]	SG	2:01	T0603840.2
Qrob_T0054570.2	Qrob_H2.3_Sc0000010	Chr3	14469295	14454575	14721	(M=1) KOG0192//KOG0193//KOG0194//KOG0197//KOG0198//KOG0581//KOG1094//KOG1187//KOG2052//KOG4721 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Serine/threonine protein kinase RAF [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Mitogen-activated protein kinase kinase (MAP2K) [Signal transduction mechanisms]. // Discoidin domain receptor DDR1 [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Activin A type IB receptor  serine/threonine protein kinase [Signal transduction mechanisms]. // Serine/threonine protein kinase  contains leucine zipper domain [Signal transduction mechanisms].	SG	2:01	T0054570.2
Qrob_T0439950.2	Qrob_H2.3_Sc0000398	Chr12	28047694	28056166	8473	(M=1) 2.7.6.5 - GTP diphosphokinase.	SG	1:01	T0439950.2
Qrob_T0511130.2	Qrob_H2.3_Sc0000633	Chr7	33801215	33809011	7797	(M=1) KOG0163//KOG0334//KOG0923//KOG1029//KOG1144//KOG2002//KOG3809//KOG4364 - Myosin class VI heavy chain [Cytoskeleton]. // RNA helicase [RNA processing and modification]. // mRNA splicing factor ATP-dependent RNA helicase [RNA processing and modification]. // Endocytic adaptor protein intersectin [Signal transduction mechanisms  Intracellular trafficking  secretion  and vesicular transport]. // Translation initiation factor 5B (eIF-5B) [Translation  ribosomal structure and biogenesis]. // TPR-containing nuclear phosphoprotein that regulates K(+) uptake [Inorganic ion transport and metabolism]. // Microtubule-binding protein MIP-T3 [Cytoskeleton]. // Chromatin assembly factor-I [Chromatin structure and dynamics].	SG	NA	T0511130.2
Qrob_T0264720.2	Qrob_H2.3_Sc0000046	Chr12	22243683	22236137	7547	(M=1) KOG2103 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0264720.2
Qrob_T0320640.2	Qrob_H2.3_Sc0000304	Chr3	29999642	30004580	4939	(M=1) PTHR21736//PTHR21736:SF15 - VERNALIZATION-INSENSITIVE PROTEIN 3 // SUBFAMILY NOT NAMED	SG	2:01	T0320640.2
Qrob_T0609750.2	Qrob_H2.3_Sc0000083	Chr2	47158646	47171397	12752	(M=1) PTHR15495 - NEGATIVE REGULATOR OF VESICLE FORMATION-RELATED	SG	2:01	T0609750.2
Qrob_T0015920.2	Qrob_H2.3_Sc0000019	Chr3	18282808	18270751	12058	(M=1) K01456 - peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52]	SG	NA	T0015920.2
Qrob_T0567690.2	Qrob_H2.3_Sc0000384	Chr12	9645446	9631340	14107	(M=1) K01338 - ATP-dependent Lon protease [EC:3.4.21.53]	SG	2:01	T0567690.2
Qrob_T0577100.2	Qrob_H2.3_Sc0000809	Qrob_H2.3_Sc0000809	59484	47230	12255	(M=1) PTHR12147//PTHR12147:SF6 - FXNA-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0577100.2
Qrob_T0027800.2	Qrob_H2.3_Sc0000032	Chr9	23375728	23372176	3553	(M=1) PTHR24420//PTHR24420:SF687 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED	SG	2:01	T0027800.2
Qrob_T0435820.2	Qrob_H2.3_Sc0000327	Chr4	43455184	43464453	9270	(M=1) PTHR21443 - CONSERVED OLIGOMERIC GOLGI COMPLEX COMPONENT 7	SG	NA	T0435820.2
Qrob_T0313440.2	Qrob_H2.3_Sc0000268	Chr7	23672164	23663950	8215	(M=1) 5.2.1.13 - Prolycopene isomerase.	SG	2:01	T0313440.2
Qrob_T0279420.2	Qrob_H2.3_Sc0000081	Chr6	1959810	1947995	11816	(M=1) PTHR11689:SF14 - VOLTAGE-GATED CLC-TYPE CHLORIDE CHANNEL ERIC	SG	2:01	T0279420.2
Qrob_T0391590.2	Qrob_H2.3_Sc0000409	Chr7	34349087	34360796	11710	(M=1) PTHR23132 - D-ALANINE--D-ALANINE LIGASE	SG	2:01	T0391590.2
Qrob_T0093480.2	Qrob_H2.3_Sc0000096	Chr10	4020469	4008043	12427	(M=1) 3.5.2.6 - Beta-lactamase.	SG	2:01	T0093480.2
Qrob_T0328480.2	Qrob_H2.3_Sc0000088	Chr12	20749086	20752781	3696	"(M=1) PTHR10357:SF115 - ISOAMYLASE 2, CHLOROPLASTIC (PTHR10357:SF115)"	SG	NA	T0328480.2
Qrob_T0328120.2	Qrob_H2.3_Sc0000088	Chr12	20099390	20108356	8967	(M=1) PTHR21494 - ACTIVATING SIGNAL COINTEGRATOR 1 COMPLEX SUBUNIT 2 (ASC-1 COMPLEX SUBUNIT P100)	SG	NA	T0328120.2
Qrob_T0112600.2	Qrob_H2.3_Sc0000039	Chr12	3299805	3287481	12325	(M=1) KOG4524 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0112600.2
Qrob_T0304870.2	Qrob_H2.3_Sc0000158	Chr2	27235931	27244029	8099	(M=1) PTHR24420//PTHR24420:SF535 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED	SG	2:01	T0304870.2
Qrob_T0357150.2	Qrob_H2.3_Sc0000023	Chr12	9380273	9370039	10235	(M=1) PTHR23076:SF56 - AAA-TYPE ATPASE FAMILY PROTEIN (PTHR23076:SF56)	SG	NA	T0357150.2
Qrob_T0132040.2	Qrob_H2.3_Sc0000060	Chr8	11146392	11153543	7152	(M=1) K03163 - DNA topoisomerase I [EC:5.99.1.2]	SG	2:01	T0132040.2
Qrob_T0748330.2	Qrob_H2.3_Sc0000822	Chr5	38329807	38340656	10850	(M=1) KOG0161//KOG0971 - Myosin class II heavy chain [Cytoskeleton]. // Microtubule-associated protein dynactin DCTN1/Glued [Cell cycle control  cell division  chromosome partitioning  Cytoskeleton].	SG	2:01	T0748330.2
Qrob_T0391930.2	Qrob_H2.3_Sc0000339	Chr1	4444537	4435738	8800	(M=1) K12200 - programmed cell death 6-interacting protein	SG	NA	T0391930.2
Qrob_T0283240.2	Qrob_H2.3_Sc0000011	Chr6	54198179	54195381	2799	(M=1) PTHR13018//PTHR13018:SF28 - PROBABLE MEMBRANE PROTEIN DUF221-RELATED // SUBFAMILY NOT NAMED	SG	NA	T0283240.2
Qrob_T0013410.2	Qrob_H2.3_Sc0000029	Chr5	22248169	22260609	12441	(M=1) PTHR13140//PTHR13140:SF363 - MYOSIN // SUBFAMILY NOT NAMED	SG	2:01	T0013410.2
Qrob_T0317700.2	Qrob_H2.3_Sc0000046	Chr12	23338778	23333106	5673	(M=1) PTHR13228 - CONSERVED OLIGOMERIC GOLGI COMPLEX COMPONENT 5	SG	2:01	T0317700.2
Qrob_T0069230.2	Qrob_H2.3_Sc0000004	Chr5	8484138	8490545	6408	(M=1) K10581 - ubiquitin-conjugating enzyme E2 O [EC:6.3.2.19]	SG	2:01	T0069230.2
Qrob_T0737590.2	Qrob_H2.3_Sc0000308	Chr2	107153281	107137214	16068	(M=1) PTHR13302 - CONSERVED OLIGOMERIC GOLGI COMPLEX COMPONENT 3	SG	1:01	T0737590.2
